SMILES                                                                                                       ,MolWt             ,MolLogP            ,pChEMBL Value
CC(C)=CCc1c(O)c(C(=O)C(C)C)c2oc(=O)cc(-c3ccccc3)c2c1O                                                        ,392.4510000000001 ,5.218600000000005  ,4.5
CC(C)C#CC1(C(F)(F)F)OC(=O)Nc2ccc(N)cc21                                                                      ,298.26400000000007,3.2479000000000005 ,6.05
CC(C)C#CC1(C(F)(F)F)OC(=O)Nc2ccc([N+](=O)[O-])cc21                                                           ,328.2460000000001 ,3.573900000000002  ,6.7
CC(C)C#CC1(C2CC2)NS(=O)(=O)Nc2ccc(Cl)cc21                                                                    ,324.833           ,2.8646000000000003 ,5.33
CC(C)C#C[C@]1(C(F)(F)F)NC(=O)Nc2ccc(F)c(Cl)c21                                                               ,334.7000000000001 ,4.031200000000002  ,7.11
CC(C)C#C[C@]1(C(F)(F)F)NC(=O)Nc2ccc(F)c(F)c21                                                                ,318.24500000000006,3.5169000000000015 ,7.04
CC(C)C#C[C@]1(C(F)(F)F)NC(=O)Nc2ccc(F)cc21                                                                   ,300.25500000000005,3.3778000000000015 ,7.41
CC(C)C(=O)c1c2c(c3oc(=O)cc(-c4ccccc4)c3c1O)C=CC(C)(C)O2                                                      ,390.4350000000001 ,5.188500000000005  ,4.49
CC(C)C(I)N1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                                ,462.2530000000002 ,4.576700000000002  ,6.8
CC(C)CC(=O)c1c(O)cc(O)c2c(-c3ccccc3)cc(=O)oc12                                                               ,338.3590000000001 ,4.100000000000003  ,5.16
CC(C)COC(=O)N1c2ccccc2NC(=O)C1(C#CC1CC1)C(F)(F)F                                                             ,380.36600000000016,3.952200000000003  ,5.94
CC(C)CSC1=N/C(=C/c2ccccc2)C(C)(C)C(=O)N1                                                                     ,302.44300000000004,3.9287000000000027 ,5.34
CC(C)CSc1nc(O)cc(Cc2c(Cl)cccc2Cl)n1                                                                          ,343.27900000000005,4.827900000000004  ,6.22
CC(C)CSc1nc(O)cc(Cc2c(F)cccc2F)n1                                                                            ,310.36899999999997,3.7993000000000023 ,6.7
CC(C)CSc1nc(O)cc(Cc2ccccc2)n1                                                                                ,274.389           ,3.5211000000000023 ,5.03
CC(C)Cc1cccnc1N(C)C1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1                                               ,483.6380000000002 ,3.8739000000000026 ,5.943333333333334
CC(C)N1C(=O)c2ccccc2Oc2ccccc21                                                                               ,253.301           ,3.847500000000003  ,6.47
CC(C)N1c2ccccc2N(C)C(=O)c2cccnc21                                                                            ,267.332           ,3.2181000000000015 ,6.7
CC(C)N1c2ncccc2NC(=O)c2cccnc21                                                                               ,254.293           ,2.5888             ,6.23
CC(C)Nc1ccc(Cl)nc1N(C)C1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1                                           ,519.0710000000001 ,4.1491000000000025 ,6.105
CC(C)Nc1cccnc1N(C)C1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1                                               ,484.6260000000002 ,3.495700000000002  ,5.912000000000001
CC(C)Nc1cccnc1N(C)C1CCN(C(=O)c2cc3ccc(CO)cc3[nH]2)CC1                                                        ,421.54500000000024,3.616500000000002  ,6.503333333333333
CC(C)Nc1cccnc1N(C)C1CCN(C(=O)c2cc3ccc(OCCOCCOCCO)cc3[nH]2)CC1                                                ,539.6770000000002 ,3.5285000000000024 ,6.34
CC(C)Nc1cccnc1N(C)C1CCN(C(=O)c2cc3ccccc3[nH]2)CC1                                                            ,391.5190000000001 ,4.124200000000003  ,6.142499999999999
CC(C)Nc1cccnc1N(C1CC1)C1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1                                           ,510.6640000000002 ,4.028300000000002  ,6.276666666666667
CC(C)Nc1cccnc1N(C1CC1)C1CCN(C(=O)c2cc3ccccc3[nH]2)CC1                                                        ,417.5570000000001 ,4.656800000000004  ,6.010000000000001
