SMILES                                                                                                                        ,MolWt             ,MolLogP           ,pChEMBL Value
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(Cn2nnnc2-c2ccccc2)c2ccccc2)CC1                                                  ,595.7040000000003 ,5.7114000000000065,6.47
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@@H](C[C@@H](C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                   ,619.7840000000002 ,6.610200000000008 ,5.08
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@@H](C[C@H](C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                    ,619.7840000000002 ,6.610200000000008 ,5.46
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2cccc(Cl)c2)CC1                                     ,655.2170000000002 ,6.331800000000007 ,8.7
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@H](CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                         ,620.7720000000003 ,5.678400000000007 ,8.7
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@H](C[C@@H](C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                    ,619.7840000000002 ,6.610200000000008 ,5.64
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@H](C[C@H](C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                     ,619.7840000000002 ,6.610200000000008 ,4.98
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC[C@](C)(CN(C)S(=O)(=O)c2ccccc2)c2ccccc2)CC1                                       ,634.7990000000003 ,5.852500000000006 ,9.5
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@@H]2[C@@H](c3ccccc3)CN3OC4(CCCCC4)C[C@@H]23)CC1                                 ,588.7490000000001 ,6.306200000000007 ,7.849999999999999
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@@H]2[C@@H](c3ccccc3)CN3O[C@H](c4ccccc4)C[C@@H]23)CC1                            ,596.7280000000002 ,6.344600000000007 ,8.22
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@@H]2c2ccccc2)CC1                                         ,574.7220000000004 ,5.616200000000006 ,9.7
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccc(F)cc2)CC1                                     ,608.7110000000005 ,4.859300000000005 ,7.52
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2cccc(F)c2)CC1                                     ,608.7110000000005 ,4.859300000000005 ,8.05
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2cccc(OC)c2)CC1                                    ,620.7470000000004 ,4.728800000000005 ,6.5
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                        ,590.7210000000005 ,4.720200000000005 ,8.513333333333334
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)C3CCCCC3)C[C@@H]2c2ccccc2)CC1                                        ,588.7490000000005 ,6.006300000000007 ,9.1
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)c3cccc4ccccc34)C[C@@H]2c2ccccc2)CC1                                  ,632.7610000000002 ,6.893000000000009 ,9.1
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)c3ccccc3)C[C@@H]2c2ccccc2)CC1                                        ,582.7010000000002 ,5.739800000000006 ,9.7
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(C(=O)c3ccccc3Cl)C[C@@H]2c2ccccc2)CC1                                      ,617.1460000000002 ,6.393200000000007 ,9.1
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN(Cc3ccccc3)C[C@@H]2c2ccccc2)CC1                                            ,568.7180000000003 ,6.099600000000007 ,10.0
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN3OC4(CCCCC4)C[C@H]3[C@@H]2c2ccccc2)CC1                                     ,588.7490000000005 ,6.306200000000008 ,9.89
C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(C[C@H]2CN3O[C@H](c4ccccc4)C[C@H]3[C@@H]2c2ccccc2)CC1                                ,596.7280000000003 ,6.344600000000008 ,8.6
C=CCN(C(=O)OCc1ccc2c(c1)OCO2)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                               ,589.7330000000004 ,4.540700000000004 ,6.91
C=CCN(C(=O)OCc1ccc2nonc2c1)C1CCN(C[C@H]2CN(C(=O)C3CCCC3)C[C@]2(O)c2ccccc2)CC1                                                 ,587.7210000000005 ,4.348200000000004 ,6.95
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2cccc(Cl)c2)CC1                                     ,682.2650000000001 ,6.921400000000007 ,7.5
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1                                         ,647.8200000000002 ,6.268000000000007 ,8.3
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(Cn2cnc3ccccc32)c2ccccc2)CC1                                                                ,536.7200000000001 ,6.673500000000008 ,6.95
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(c2ccccc2)C2Nc3ccccc3S(=O)(=O)N2)CC1                                                        ,588.7740000000001 ,5.353700000000004 ,7.505
