SMILES,CCR5_pIC50,INT_pIC50,RT_pIC50
CC1Cc2ccccc2N1C(=O)Cn1nc(C(=O)O)c2ccccc2c1=O,5.029900958328343,5.779192720749867,5.543832193851273
CCCCCCCCCCCCCCCC(=O)NC[C@@H]1C[N+](C)(C)C[C@H](CC(=O)[O-])O1,6.682028839836493,4.707303516471208,5.375100333598944
CN(c1ccc(C(=O)NCc2ccc3c(c2)OCO3)cc1)S(=O)(=O)c1ccccc1,5.007216033635074,4.477164580060846,5.911615596035466
COc1cccc(C(=O)CSc2nnc(-c3ccc(Cl)cc3)o2)c1,5.54774555977424,4.591631047441769,5.771879574210533
COc1ccc(CNC(=O)c2ccc(Cn3cc(Br)cn3)o2)cc1,5.562586609416785,4.916152734977366,5.755525146245401
COCC(C)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(C(=O)Nc2nc3c(s2)CCCC3)c1,5.956608722160098,4.67202477303978,5.749338466779868
CSCC[C@H](NC(=O)Cc1ccccc1)C(=O)SCC(=O)O,6.163821667922938,4.648499532324377,5.508011312557559
N#Cc1c(-n2ncnc2-c2ccccc2C(F)(F)F)sc2c1CCCCC2,5.950956699202527,5.416997158111067,5.807239663867087
CCNc1nnc(-c2cnc(N3CCN(C4CCN(C(=O)c5ccc(Cl)nc5N)CC4)[C@@H](CC)C3)c(Cl)n2)o1,6.510470004897209,5.4412550994351,6.345078497917885
CN(C)C(=O)CCSC(CCc1ccccc1C(=O)O)c1cccc(OCc2ccc3ccc(Cl)cc3n2)c1,6.944056522365412,5.597372972083118,5.945876375247942
O=C(C[C@@H]1[C@@H]2CN(C(=O)Cc3ccccn3)C[C@@H]21)Nc1cccnc1,6.452730664604836,5.596334464748538,6.261059862577359
CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cc(C(C)C)c23)c1,5.857378574524177,5.0871960407753125,5.999076623076114
O=C(C1=C(O)/C(=C/c2cccc(F)c2)CCC1)c1ccccc1,5.958229388432864,4.912206645086052,5.898322705493722
COc1cc(NC(C)CCCNC(=O)NCCCC[C@H](N)C(=O)O)c2ncccc2c1,6.663143957798977,5.260149065034869,6.181276198501889
C/C(=N\OCc1ccc(C2CCCCC2)c(C(F)(F)F)c1)c1ccc(CNCCC(=O)O)cc1,6.943479860566811,5.323077077220577,5.9201893688333245
CCOC(=O)N1c2ccc(C(F)(F)F)cc2N(C(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2nnn(C)n2)C[C@@H]1CC,6.482220505267332,5.429552460229799,6.054306777190536
Nc1nc(NCc2ccc(F)cc2)ccc1N1CCOC1=O,5.747132446617078,5.514993797825939,5.534620064545327
CCN(C(=O)c1ccc2c(c1)CCO2)c1ccnc(N[C@@H](C)c2ccccc2)n1,5.1714311038127905,5.427964700010858,6.495965150207429
Cn1c(=O)[nH]c(=O)c2c1nc(NC1CCCCC1)n2CC(=O)NC1CCCCC1,5.685485916788495,5.379516518814535,5.456279036262618
N=C(N)N/N=C/c1c(-c2ccc(O)c(O)c2)nc2sccn12,5.240265737367253,4.738870833004614,5.50811186028189
CSc1ccc(C2C3=C(Nc4[nH]c(=O)[nH]c(=O)c42)c2ccccc2C3=O)cc1,4.869518209582456,5.270646709442883,6.307727145017411
O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2nncs2)cc1,5.801036639301526,4.475600868175612,6.9312657810055365
CCCCCCCSC1=N[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O1,6.209613405617141,4.52252562967224,5.087852131646738
CC[C@H](N)C(=O)NC1CC[C@H]2CC[C@@H](C(=O)NCc3ccccc3)N2C1=O,5.859222338810562,5.520987883416697,5.444990361612712
CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2Cc1cc(Cl)c(Cl)cc1C(=O)O,6.537862716316588,5.641982184670021,6.455644052842848
O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(O)cc1,5.7942413863159405,4.387754850787497,6.216599600110502
NC(=O)Cc1cccc(NC(=O)c2n[nH]c3ccccc23)c1,4.937551373942452,5.270563557368665,5.469610564167503
CC(C)C[C@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@@H](CCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC1=O,6.396181000602573,5.646229507477942,5.448219932760372
COc1ccc2c(c1F)CSc1c(C(F)F)nn(-c3ccc(S(N)(=O)=O)cc3)c1-2,6.02408767798056,5.608349220992567,5.995566519668873
CC(C)(NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,6.8135597543983355,5.085338405403057,5.722738036853096
